TransactionID,ProductType,SalesValue,TransactionDate
1,HDD,830.48,2024-04-06
2,SSD,985.61,2025-07-19
3,RAM,948.69,2024-11-10
4,GPU,561.11,2024-12-19
5,RAM,770.59,2024-09-28
6,CPU,827.46,2024-11-20
7,GPU,230.18,2024-12-26
8,SSD,1455.82,2024-07-09
9,CPU,251.94,2025-11-02
10,GPU,659.13,2025-01-18
11,CPU,835.26,2025-10-29
12,SSD,115.91,2024-09-29
13,SSD,1479.06,2025-03-28
14,CPU,803.24,2025-10-09
15,GPU,76.22,2025-07-20
16,SSD,1373.15,2024-11-07
17,HDD,895.62,2024-11-24
18,Monitor,1491.47,2024-01-29
19,CPU,1194.34,2025-11-19
20,GPU,261.35,2025-07-05
21,Monitor,970.05,2024-05-20
22,Monitor,1085.67,2024-02-10
23,CPU,639.11,2025-08-05
24,CPU,67.71,2024-02-11
25,RAM,963.95,2025-08-07
26,HDD,950.83,2025-06-02
27,Monitor,1386.38,2024-08-27
28,SSD,495.21,2025-01-22
29,Keyboard,1006.96,2025-03-18
30,SSD,331.72,2024-10-29
31,RAM,894.66,2024-12-26
32,GPU,272.55,2025-07-23
33,GPU,1380.37,2025-03-24
34,Keyboard,190.33,2025-09-06
35,SSD,879.16,2024-09-11
36,GPU,1045.73,2024-10-11
37,SSD,278.83,2024-09-05
38,RAM,449.99,2024-08-20
39,Keyboard,224.57,2025-03-31
40,HDD,711.54,2024-04-17
41,SSD,748.02,2025-05-04
42,CPU,908.94,2025-02-03
43,Keyboard,126.11,2024-07-01
44,GPU,1266.99,2025-03-23
45,HDD,322.96,2024-02-26
46,RAM,370.76,2024-12-01
47,RAM,1190.48,2025-08-22
48,Monitor,1071.21,2025-05-22
49,Keyboard,656.72,2024-03-11
50,SSD,1032.75,2024-10-01
51,Keyboard,455.66,2025-06-16
52,GPU,800.44,2025-05-22
53,HDD,1003.81,2024-04-27
54,Monitor,766.38,2024-01-13
55,GPU,1405.24,2025-12-30
56,Keyboard,1306.28,2025-05-02
57,GPU,551.43,2025-05-22
58,SSD,1144.56,2025-01-21
59,GPU,336.71,2025-07-24
60,SSD,1451.18,2025-08-30
61,GPU,293.63,2024-01-22
62,GPU,1231.96,2024-09-26
